ts,open,high,low,close
2025-10-08 09:15:00,64112.916,64294.3876,64112.916,64294.3876
2025-10-08 09:20:00,64276.1537,64549.5729,64216.5009,64549.5729
2025-10-08 09:25:00,64548.7767,64599.3864,64427.9681,64503.8177
2025-10-08 09:30:00,64504.5687,64518.1363,64162.8986,64162.8986
2025-10-08 09:35:00,64179.5519,64190.3177,63936.7586,63945.9391
2025-10-08 09:40:00,63946.2899,63975.5067,63810.6352,63826.4453
2025-10-08 09:45:00,63804.2882,63890.8802,63743.0054,63890.8802
2025-10-08 09:50:00,63903.8815,64027.336,63869.1305,63955.0159
2025-10-08 09:55:00,63944.6523,64010.0532,63854.4446,63982.7391
2025-10-08 10:00:00,63965.7527,64026.0808,63832.9527,63867.263
2025-10-08 10:05:00,63859.0238,64012.9623,63823.2034,63914.6831
2025-10-08 10:10:00,63902.4473,64128.2816,63860.3299,63975.5677
2025-10-08 10:15:00,63980.1407,64206.6337,63970.0526,64125.5829
2025-10-08 10:20:00,64134.1177,64259.1603,64033.9309,64033.9309
2025-10-08 10:25:00,64041.0945,64119.1487,63978.1203,63993.6278
2025-10-08 10:30:00,64020.8857,64155.1796,63974.0608,63974.1236
2025-10-08 10:35:00,63978.8371,64163.8233,63910.4165,64077.3747
2025-10-08 10:40:00,64084.7259,64235.6226,64041.9174,64227.0613
2025-10-08 10:45:00,64232.5904,64350.4962,64182.9495,64278.1083
2025-10-08 10:50:00,64284.6596,64284.6596,63955.7713,63995.0739
2025-10-08 10:55:00,64005.3653,64180.1866,63979.3098,64147.7039
2025-10-08 11:00:00,64191.4209,64220.9055,64056.903,64130.1577
2025-10-08 11:05:00,64121.8532,64235.3127,64040.7343,64134.061
2025-10-08 11:10:00,64131.708,64138.1668,63935.8702,63946.7861
2025-10-08 11:15:00,63926.2942,63980.5949,63837.9555,63954.7928
2025-10-08 11:20:00,63967.0691,64074.5362,63961.6225,64073.3068
2025-10-08 11:25:00,64080.6859,64214.487,64042.2894,64159.0758
2025-10-08 11:30:00,64156.7302,64292.305,64054.5228,64196.7277
2025-10-08 11:35:00,64193.8988,64193.8988,63969.8304,64101.047
2025-10-08 11:40:00,64104.4538,64104.4538,63806.9903,63821.8342
2025-10-08 11:45:00,63837.3235,64158.04,63821.9059,64001.9212
2025-10-08 11:50:00,63995.9381,64167.0993,63995.9381,64167.0993
2025-10-08 11:55:00,64189.9896,64210.2703,64001.0293,64117.85
2025-10-08 12:00:00,64109.1449,64294.2611,63945.3821,63974.7405
2025-10-08 12:05:00,64010.8684,64125.3266,63956.0264,64063.5863
2025-10-08 12:10:00,64085.1498,64186.0632,63917.8818,63962.4596
2025-10-08 12:15:00,63976.1518,64119.7664,63948.0584,64015.3263
2025-10-08 12:20:00,64005.1406,64218.0956,63936.7259,64024.4742
2025-10-08 12:25:00,64024.1353,64108.4114,63938.3186,64108.4114
2025-10-08 12:30:00,64108.2698,64251.8542,64088.9097,64230.2573
2025-10-08 12:35:00,64222.5035,64293.4958,64063.2376,64222.465
2025-10-08 12:40:00,64228.2204,64344.4258,64166.6561,64232.4982
2025-10-08 12:45:00,64253.5731,64546.6961,64238.0442,64464.1389
2025-10-08 12:50:00,64460.1096,64575.75,64424.1459,64459.6875
2025-10-08 12:55:00,64444.6407,64526.3797,64317.0451,64417.0538
2025-10-08 13:00:00,64426.5484,64663.4882,64424.9509,64633.4872
2025-10-08 13:05:00,64642.2406,64723.3642,64478.7327,64668.566
2025-10-08 13:10:00,64679.3949,64679.3949,64492.669,64562.331
2025-10-08 13:15:00,64571.171,64598.1116,64364.6224,64427.9604
2025-10-08 13:20:00,64433.4754,64828.5345,64433.4754,64820.5857
2025-10-08 13:25:00,64839.7887,64895.1431,64619.6657,64655.8758
2025-10-08 13:30:00,64648.3821,64878.4507,64612.7769,64716.1967
