ts,open,high,low,close
2025-09-03 15:54:52,72769.6537,72913.5796,72626.703,72876.1042
2025-09-03 16:00:00,72893.8873,73103.5222,72567.2982,72840.372
2025-09-03 16:15:00,72844.1753,73184.4213,72442.8324,72452.0555
2025-09-03 16:30:00,72446.7161,72781.3145,72199.3686,72781.3145
2025-09-03 16:45:00,72786.4966,73079.2347,72671.5314,72997.7216
2025-09-03 17:00:00,73016.3003,73269.4199,72871.3721,73008.6648
2025-09-03 17:15:00,72999.0078,73306.3242,72914.9884,73213.3766
2025-09-03 17:30:00,73234.4088,73547.0817,73166.9434,73494.3973
2025-09-03 17:45:00,73514.7703,73731.8881,73335.5299,73469.7848
2025-09-03 18:00:00,73456.1133,73679.9378,73299.3239,73651.1915
2025-09-03 18:15:00,73653.0567,73653.0567,73046.4727,73217.4722
2025-09-03 18:30:00,73232.6766,73547.6222,73102.2569,73537.084
2025-09-03 18:45:00,73515.6532,73612.6874,73192.8597,73575.3992
2025-09-03 19:00:00,73569.0,74064.2655,73506.1668,73936.0315
2025-09-03 19:15:00,73950.242,74129.6987,73850.7665,73895.3388
2025-09-03 19:30:00,73902.7691,74172.0642,73827.9415,73980.362
2025-09-03 19:45:00,73972.28,74633.8546,73964.7233,74601.5635
2025-09-03 20:00:00,74592.4765,74765.1747,74420.7879,74612.9294
2025-09-03 20:15:00,74623.5494,75112.0528,74499.8123,74938.9992
2025-09-03 20:30:00,74908.0224,75057.7862,74586.338,74639.812
2025-09-03 20:45:00,74631.2725,74790.2425,74189.1886,74394.3183
2025-09-03 21:00:00,74377.172,74602.5745,73940.4853,74030.1757
2025-09-03 21:15:00,74040.2146,74152.6663,73839.7783,74098.1805
2025-09-03 21:30:00,74088.9743,74093.1946,73182.8983,73304.7742
2025-09-03 21:45:00,73281.7333,73325.9163,72674.4349,72769.029
2025-09-03 22:00:00,72782.574,72860.5366,72418.9898,72472.6705
2025-09-03 22:15:00,72468.366,72656.8953,72359.7076,72403.0245
2025-09-03 22:30:00,72415.5683,72437.7445,72151.2338,72400.1236
2025-09-03 22:45:00,72411.844,72588.3785,72211.6635,72377.7372
2025-09-03 23:00:00,72386.0804,72549.3397,72308.794,72485.6004
2025-09-03 23:15:00,72497.8861,72661.506,72213.6136,72221.2753
2025-09-03 23:30:00,72237.7479,72255.2424,71959.571,72039.3524
2025-09-03 23:45:00,72038.1354,72597.2665,72033.9543,72386.5392
2025-09-04 00:00:00,72384.183,72801.2277,72350.0568,72735.7041
2025-09-04 00:15:00,72703.913,72938.9806,72614.6209,72896.0838
2025-09-04 00:30:00,72910.1861,72942.6723,72667.1363,72670.3496
2025-09-04 00:45:00,72661.4728,72748.4732,72091.7652,72134.4612
2025-09-04 01:00:00,72138.6965,72357.8804,71782.665,71782.665
2025-09-04 01:15:00,71781.2212,72256.5936,71739.3817,71950.5512
2025-09-04 01:30:00,71979.1651,72069.817,71741.4044,71798.9244
2025-09-04 01:45:00,71817.7156,71852.2288,71465.7306,71712.4483
2025-09-04 02:00:00,71735.7567,71774.722,71322.6051,71347.3244
2025-09-04 02:15:00,71338.9054,71497.0934,71101.7575,71209.27
2025-09-04 02:30:00,71229.2077,71248.9835,70869.4642,71032.1519
2025-09-04 02:45:00,71035.5837,71411.1098,70928.8431,71390.82
2025-09-04 03:00:00,71389.9686,71519.1248,71197.7268,71275.1418
2025-09-04 03:15:00,71277.7593,71364.4573,70878.2386,70896.4265
2025-09-04 03:30:00,70892.4164,70946.7908,70616.1901,70658.0561
2025-09-04 03:45:00,70651.9189,70900.482,70404.8673,70467.6037
2025-09-04 04:00:00,70478.8257,70490.0338,69789.8352,69828.1644
2025-09-04 04:15:00,69864.2657,70097.7296,69712.5717,69981.8709
2025-09-04 04:30:00,69976.3226,70169.0989,69889.6475,70045.6871
2025-09-04 04:45:00,70031.1169,70052.1537,69622.1161,69756.456
2025-09-04 05:00:00,69764.9835,69938.7805,69641.4966,69793.3109
2025-09-04 05:15:00,69780.0133,70136.1833,69763.2542,69977.2247
2025-09-04 05:30:00,69966.4906,70157.3141,69843.1089,69898.4296
2025-09-04 05:45:00,69888.9031,70207.7459,69872.1062,70081.0291
2025-09-04 06:00:00,70083.063,70487.2564,70062.4624,70308.7305
2025-09-04 06:15:00,70304.6322,70626.3945,70071.8544,70213.8784
2025-09-04 06:30:00,70216.7194,70293.3243,70031.0512,70031.0512
